popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,explicit,disc_number,track_number,uri,tempo,type,key,loudness,mode,speechiness,liveness,valence,danceability,energy,track_href,analysis_url,duration_ms,time_signature,acousticness,instrumentalness,artist_genres,artist_popularity,album_genres,album_popularity,album_release_date
86,3dPQuX8Gs42Y7b454ybpMR,4F84IBURUo98rz4r61KF70,6D9urpsOWWKtYvF6PaorGE,Seven Nation Army,The White Stripes,Elephant,False,1,1,spotify:track:3dPQuX8Gs42Y7b454ybpMR,123.596,audio_features,4,-7.807,0,0.0683,0.337,0.278,0.743,0.446,https://api.spotify.com/v1/tracks/3dPQuX8Gs42Y7b454ybpMR,https://api.spotify.com/v1/audio-analysis/3dPQuX8Gs42Y7b454ybpMR,232107,4,0.0039,0.118,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']",74,[],78,2003-04-01
45,0sFq478LIo9BFwf2qzMzzF,7wCjDgV6nqBsHguQXPAaIM,6GDs0ZZVR2jDV8n4m11KWO,The Year 2003 Minus 25 - Remastered,Waylon Jennings,Waylon & Willie,False,1,2,spotify:track:0sFq478LIo9BFwf2qzMzzF,102.166,audio_features,4,-13.785,1,0.0384,0.0668,0.474,0.626,0.457,https://api.spotify.com/v1/tracks/0sFq478LIo9BFwf2qzMzzF,https://api.spotify.com/v1/audio-analysis/0sFq478LIo9BFwf2qzMzzF,184267,4,0.355,9.2e-06,"['country', 'country rock', 'outlaw country', 'texas country']",70,[],61,1978-01-01
82,2PpruBYCo4H7WOBJ7Q2EwM,1G9G7WwrXka3Z1r7aIDjI7,1UsmQ3bpJTyK6ygoOOjG1r,Hey Ya!,Outkast,Speakerboxxx/The Love Below,False,2,9,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,79.526,audio_features,4,-2.261,0,0.0664,0.174,0.965,0.727,0.974,https://api.spotify.com/v1/tracks/2PpruBYCo4H7WOBJ7Q2EwM,https://api.spotify.com/v1/audio-analysis/2PpruBYCo4H7WOBJ7Q2EwM,235213,4,0.103,0.000532,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",77,[],77,2003
74,6bUNEbXT7HovLW6BgPCBsb,1G9G7WwrXka3Z1r7aIDjI7,1UsmQ3bpJTyK6ygoOOjG1r,Roses,Outkast,Speakerboxxx/The Love Below,True,2,10,spotify:track:6bUNEbXT7HovLW6BgPCBsb,108.97,audio_features,0,-5.653,1,0.0545,0.107,0.509,0.751,0.708,https://api.spotify.com/v1/tracks/6bUNEbXT7HovLW6BgPCBsb,https://api.spotify.com/v1/audio-analysis/6bUNEbXT7HovLW6BgPCBsb,369573,4,0.0482,1.85e-05,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",77,[],77,2003
68,5z7mYFfhw6N6f23VwrokJD,1G9G7WwrXka3Z1r7aIDjI7,1UsmQ3bpJTyK6ygoOOjG1r,The Way You Move (feat. Sleepy Brown),Outkast,Speakerboxxx/The Love Below,True,1,5,spotify:track:5z7mYFfhw6N6f23VwrokJD,125.999,audio_features,5,-4.932,0,0.0464,0.0638,0.635,0.871,0.597,https://api.spotify.com/v1/tracks/5z7mYFfhw6N6f23VwrokJD,https://api.spotify.com/v1/audio-analysis/5z7mYFfhw6N6f23VwrokJD,234000,4,0.126,0.000113,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",77,[],77,2003
26,0r5y3Ia2Wu3UkenDH2Ulhk,6JMGrupbzJZ3yuQhTGyeHr,6nUwQK1xQulhHslB6A8qjQ,Ducktales (the Moon),Year 200X,We Are Error,False,1,2,spotify:track:0r5y3Ia2Wu3UkenDH2Ulhk,82.509,audio_features,7,-6.721,1,0.039,0.157,0.405,0.257,0.725,https://api.spotify.com/v1/tracks/0r5y3Ia2Wu3UkenDH2Ulhk,https://api.spotify.com/v1/audio-analysis/0r5y3Ia2Wu3UkenDH2Ulhk,131253,4,0.000159,0.846,['scorecore'],21,[],27,2013-11-28
22,1mo7zvAi0AFpLj4ODV9AyY,6JMGrupbzJZ3yuQhTGyeHr,6nUwQK1xQulhHslB6A8qjQ,Zelda II (Title - Battle - Fairy - Palace),Year 200X,We Are Error,False,1,13,spotify:track:1mo7zvAi0AFpLj4ODV9AyY,54.37,audio_features,7,-8.903,1,0.0596,0.0709,0.146,0.112,0.709,https://api.spotify.com/v1/tracks/1mo7zvAi0AFpLj4ODV9AyY,https://api.spotify.com/v1/audio-analysis/1mo7zvAi0AFpLj4ODV9AyY,386227,3,4.74e-05,0.879,['scorecore'],21,[],27,2013-11-28
22,0qSXoNHcm1sn9kWcAG7WCx,6JMGrupbzJZ3yuQhTGyeHr,6nUwQK1xQulhHslB6A8qjQ,Ghosts N Goblins,Year 200X,We Are Error,False,1,5,spotify:track:0qSXoNHcm1sn9kWcAG7WCx,93.028,audio_features,7,-8.439,1,0.0441,0.0681,0.541,0.294,0.788,https://api.spotify.com/v1/tracks/0qSXoNHcm1sn9kWcAG7WCx,https://api.spotify.com/v1/audio-analysis/0qSXoNHcm1sn9kWcAG7WCx,106973,4,4.15e-06,0.967,['scorecore'],21,[],27,2013-11-28
21,2HUMceEhjkJoOfn7UsomyX,6JMGrupbzJZ3yuQhTGyeHr,6nUwQK1xQulhHslB6A8qjQ,Castlevania III (the Beginning),Year 200X,We Are Error,False,1,8,spotify:track:2HUMceEhjkJoOfn7UsomyX,113.765,audio_features,7,-8.539,0,0.052,0.232,0.485,0.192,0.693,https://api.spotify.com/v1/tracks/2HUMceEhjkJoOfn7UsomyX,https://api.spotify.com/v1/audio-analysis/2HUMceEhjkJoOfn7UsomyX,114000,4,2.75e-06,0.863,['scorecore'],21,[],27,2013-11-28
19,0ldeZmVLVfyhRKCavkFv2K,6JMGrupbzJZ3yuQhTGyeHr,6nUwQK1xQulhHslB6A8qjQ,Mega Man 3 (title Theme)(sfx Intro By Alex Atchley),Year 200X,We Are Error,False,1,1,spotify:track:0ldeZmVLVfyhRKCavkFv2K,77.725,audio_features,6,-9.81,0,0.0338,0.12,0.147,0.235,0.35,https://api.spotify.com/v1/tracks/0ldeZmVLVfyhRKCavkFv2K,https://api.spotify.com/v1/audio-analysis/0ldeZmVLVfyhRKCavkFv2K,153987,3,0.00312,0.908,['scorecore'],21,[],27,2013-11-28
18,4Y2mJptbsUs60BACcmqTZc,6JMGrupbzJZ3yuQhTGyeHr,6nUwQK1xQulhHslB6A8qjQ,Mega Man 2 (title),Year 200X,We Are Error,False,1,12,spotify:track:4Y2mJptbsUs60BACcmqTZc,81.573,audio_features,1,-7.597,1,0.0381,0.108,0.36,0.0997,0.696,https://api.spotify.com/v1/tracks/4Y2mJptbsUs60BACcmqTZc,https://api.spotify.com/v1/audio-analysis/4Y2mJptbsUs60BACcmqTZc,97480,4,1.6e-05,0.855,['scorecore'],21,[],27,2013-11-28
84,2nLtzopw4rPReszdYBJU6h,6XyY86QOPPrYVGvF9ch6wz,4Gfnly5CzMJQqkUFfoHaP3,Numb,Linkin Park,Meteora,False,1,13,spotify:track:2nLtzopw4rPReszdYBJU6h,110.018,audio_features,9,-4.153,1,0.0381,0.639,0.243,0.496,0.863,https://api.spotify.com/v1/tracks/2nLtzopw4rPReszdYBJU6h,https://api.spotify.com/v1/audio-analysis/2nLtzopw4rPReszdYBJU6h,185587,4,0.0046,0.0,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",86,[],79,2003-03-24
73,4Yf5bqU3NK4kNOypcrLYwU,6XyY86QOPPrYVGvF9ch6wz,4Gfnly5CzMJQqkUFfoHaP3,Faint,Linkin Park,Meteora,False,1,7,spotify:track:4Yf5bqU3NK4kNOypcrLYwU,135.095,audio_features,4,-3.554,1,0.131,0.0731,0.594,0.554,0.978,https://api.spotify.com/v1/tracks/4Yf5bqU3NK4kNOypcrLYwU,https://api.spotify.com/v1/audio-analysis/4Yf5bqU3NK4kNOypcrLYwU,162600,4,0.111,0.0,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",86,[],79,2003-03-24
67,3agtg0x11wPvLIWkYR39nZ,6XyY86QOPPrYVGvF9ch6wz,4Gfnly5CzMJQqkUFfoHaP3,Somewhere I Belong,Linkin Park,Meteora,False,1,3,spotify:track:3agtg0x11wPvLIWkYR39nZ,162.065,audio_features,1,-3.754,1,0.0645,0.261,0.442,0.451,0.951,https://api.spotify.com/v1/tracks/3agtg0x11wPvLIWkYR39nZ,https://api.spotify.com/v1/audio-analysis/3agtg0x11wPvLIWkYR39nZ,213933,4,0.00038,2.39e-06,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",86,[],79,2003-03-24
50,1AHGrKFv3nSCH9K7yg8gOz,5ND0mGcL9SKSjWIjPd0xIb,1mE248x5OCg2ffilAnFI0r,Punk Rock 101,Bowling For Soup,Songs People Actually Liked - Volume 1 - The First 10 Years (1994-2003),False,1,9,spotify:track:1AHGrKFv3nSCH9K7yg8gOz,117.962,audio_features,4,-4.576,1,0.084,0.0823,0.733,0.63,0.936,https://api.spotify.com/v1/tracks/1AHGrKFv3nSCH9K7yg8gOz,https://api.spotify.com/v1/audio-analysis/1AHGrKFv3nSCH9K7yg8gOz,184322,4,0.00128,0.0,"['comic', 'pop punk', 'rock', 'texas pop punk']",66,[],46,2015-01-27
40,1lfaObhOUYMHy4T3vux3qT,5ND0mGcL9SKSjWIjPd0xIb,1mE248x5OCg2ffilAnFI0r,Girl All the Bad Guys Want,Bowling For Soup,Songs People Actually Liked - Volume 1 - The First 10 Years (1994-2003),False,1,4,spotify:track:1lfaObhOUYMHy4T3vux3qT,131.99,audio_features,7,-4.743,1,0.0493,0.331,0.899,0.639,0.837,https://api.spotify.com/v1/tracks/1lfaObhOUYMHy4T3vux3qT,https://api.spotify.com/v1/audio-analysis/1lfaObhOUYMHy4T3vux3qT,196548,4,0.00376,0.0,"['comic', 'pop punk', 'rock', 'texas pop punk']",66,[],46,2015-01-27
37,7zDmY2QHuelJABpgelsbw2,5ND0mGcL9SKSjWIjPd0xIb,1mE248x5OCg2ffilAnFI0r,The Bitch Song,Bowling For Soup,Songs People Actually Liked - Volume 1 - The First 10 Years (1994-2003),False,1,6,spotify:track:7zDmY2QHuelJABpgelsbw2,170.046,audio_features,9,-5.307,1,0.0907,0.156,0.559,0.407,0.916,https://api.spotify.com/v1/tracks/7zDmY2QHuelJABpgelsbw2,https://api.spotify.com/v1/audio-analysis/7zDmY2QHuelJABpgelsbw2,197149,4,0.000104,3.64e-05,"['comic', 'pop punk', 'rock', 'texas pop punk']",66,[],46,2015-01-27
27,58X2UhCZQxHOWaBMNRNJv7,5ND0mGcL9SKSjWIjPd0xIb,1mE248x5OCg2ffilAnFI0r,Emily,Bowling For Soup,Songs People Actually Liked - Volume 1 - The First 10 Years (1994-2003),False,1,3,spotify:track:58X2UhCZQxHOWaBMNRNJv7,161.927,audio_features,9,-4.53,1,0.0496,0.119,0.663,0.463,0.886,https://api.spotify.com/v1/tracks/58X2UhCZQxHOWaBMNRNJv7,https://api.spotify.com/v1/audio-analysis/58X2UhCZQxHOWaBMNRNJv7,208426,4,0.000828,0.0,"['comic', 'pop punk', 'rock', 'texas pop punk']",66,[],46,2015-01-27
24,1gtadwEKHcGTuFEMMxgkJd,5ND0mGcL9SKSjWIjPd0xIb,1mE248x5OCg2ffilAnFI0r,Life After Lisa,Bowling For Soup,Songs People Actually Liked - Volume 1 - The First 10 Years (1994-2003),False,1,11,spotify:track:1gtadwEKHcGTuFEMMxgkJd,130.321,audio_features,11,-4.379,1,0.0314,0.173,0.854,0.668,0.834,https://api.spotify.com/v1/tracks/1gtadwEKHcGTuFEMMxgkJd,https://api.spotify.com/v1/audio-analysis/1gtadwEKHcGTuFEMMxgkJd,180211,4,0.000742,9.57e-06,"['comic', 'pop punk', 'rock', 'texas pop punk']",66,[],46,2015-01-27
26,2R2zGPoqpNp3lOfI03RrWV,5ND0mGcL9SKSjWIjPd0xIb,1mE248x5OCg2ffilAnFI0r,Suckerpunch,Bowling For Soup,Songs People Actually Liked - Volume 1 - The First 10 Years (1994-2003),False,1,2,spotify:track:2R2zGPoqpNp3lOfI03RrWV,159.019,audio_features,9,-4.172,1,0.0444,0.0827,0.824,0.503,0.923,https://api.spotify.com/v1/tracks/2R2zGPoqpNp3lOfI03RrWV,https://api.spotify.com/v1/audio-analysis/2R2zGPoqpNp3lOfI03RrWV,198629,4,0.00013,4.71e-06,"['comic', 'pop punk', 'rock', 'texas pop punk']",66,[],46,2015-01-27
21,2lq7sC4GEvtz8po0WeMEQw,5ND0mGcL9SKSjWIjPd0xIb,1mE248x5OCg2ffilAnFI0r,20 Years (That's a Lot of Beers),Bowling For Soup,Songs People Actually Liked - Volume 1 - The First 10 Years (1994-2003),False,1,18,spotify:track:2lq7sC4GEvtz8po0WeMEQw,114.969,audio_features,0,-8.34,1,0.0321,0.26,0.499,0.629,0.559,https://api.spotify.com/v1/tracks/2lq7sC4GEvtz8po0WeMEQw,https://api.spotify.com/v1/audio-analysis/2lq7sC4GEvtz8po0WeMEQw,201633,4,0.501,0.0,"['comic', 'pop punk', 'rock', 'texas pop punk']",66,[],46,2015-01-27
23,7dlUNrNAcBsyBHMwfY7gvA,5ND0mGcL9SKSjWIjPd0xIb,1mE248x5OCg2ffilAnFI0r,Last Rock Show,Bowling For Soup,Songs People Actually Liked - Volume 1 - The First 10 Years (1994-2003),False,1,1,spotify:track:7dlUNrNAcBsyBHMwfY7gvA,101.069,audio_features,0,-4.717,1,0.0578,0.304,0.43,0.495,0.965,https://api.spotify.com/v1/tracks/7dlUNrNAcBsyBHMwfY7gvA,https://api.spotify.com/v1/audio-analysis/7dlUNrNAcBsyBHMwfY7gvA,89169,4,3.72e-05,0.000188,"['comic', 'pop punk', 'rock', 'texas pop punk']",66,[],46,2015-01-27
20,6zbPbdbG6a1GEhYwI8KRG0,5ND0mGcL9SKSjWIjPd0xIb,1mE248x5OCg2ffilAnFI0r,You and Me,Bowling For Soup,Songs People Actually Liked - Volume 1 - The First 10 Years (1994-2003),False,1,5,spotify:track:6zbPbdbG6a1GEhYwI8KRG0,90.538,audio_features,0,-4.481,1,0.0261,0.0894,0.441,0.512,0.813,https://api.spotify.com/v1/tracks/6zbPbdbG6a1GEhYwI8KRG0,https://api.spotify.com/v1/audio-analysis/6zbPbdbG6a1GEhYwI8KRG0,241921,4,0.000534,4.34e-05,"['comic', 'pop punk', 'rock', 'texas pop punk']",66,[],46,2015-01-27
19,33Iif7YC2IYvTHPfdlyC7m,5ND0mGcL9SKSjWIjPd0xIb,1mE248x5OCg2ffilAnFI0r,Belgium,Bowling For Soup,Songs People Actually Liked - Volume 1 - The First 10 Years (1994-2003),False,1,10,spotify:track:33Iif7YC2IYvTHPfdlyC7m,167.943,audio_features,7,-4.672,1,0.0559,0.204,0.803,0.494,0.917,https://api.spotify.com/v1/tracks/33Iif7YC2IYvTHPfdlyC7m,https://api.spotify.com/v1/audio-analysis/33Iif7YC2IYvTHPfdlyC7m,200964,4,0.00113,0.0,"['comic', 'pop punk', 'rock', 'texas pop punk']",66,[],46,2015-01-27
18,5GcdSVm9Yq1lOFhVcBZdet,5ND0mGcL9SKSjWIjPd0xIb,1mE248x5OCg2ffilAnFI0r,Cody,Bowling For Soup,Songs People Actually Liked - Volume 1 - The First 10 Years (1994-2003),False,1,12,spotify:track:5GcdSVm9Yq1lOFhVcBZdet,168.093,audio_features,2,-5.198,1,0.0787,0.25,0.83,0.304,0.94,https://api.spotify.com/v1/tracks/5GcdSVm9Yq1lOFhVcBZdet,https://api.spotify.com/v1/audio-analysis/5GcdSVm9Yq1lOFhVcBZdet,266343,4,0.00101,1.76e-06,"['comic', 'pop punk', 'rock', 'texas pop punk']",66,[],46,2015-01-27
17,4cNq5YYWIe7GLD17eTcHHe,5ND0mGcL9SKSjWIjPd0xIb,1mE248x5OCg2ffilAnFI0r,2113,Bowling For Soup,Songs People Actually Liked - Volume 1 - The First 10 Years (1994-2003),False,1,8,spotify:track:4cNq5YYWIe7GLD17eTcHHe,163.057,audio_features,9,-4.425,1,0.046,0.0931,0.717,0.487,0.874,https://api.spotify.com/v1/tracks/4cNq5YYWIe7GLD17eTcHHe,https://api.spotify.com/v1/audio-analysis/4cNq5YYWIe7GLD17eTcHHe,280431,4,0.000242,1.56e-06,"['comic', 'pop punk', 'rock', 'texas pop punk']",66,[],46,2015-01-27
17,4RUypgnS4gcvyFmqCibjgc,5ND0mGcL9SKSjWIjPd0xIb,1mE248x5OCg2ffilAnFI0r,Dance with You,Bowling For Soup,Songs People Actually Liked - Volume 1 - The First 10 Years (1994-2003),False,1,14,spotify:track:4RUypgnS4gcvyFmqCibjgc,154.099,audio_features,0,-5.222,1,0.0598,0.211,0.841,0.536,0.893,https://api.spotify.com/v1/tracks/4RUypgnS4gcvyFmqCibjgc,https://api.spotify.com/v1/audio-analysis/4RUypgnS4gcvyFmqCibjgc,209566,4,0.000538,2.5e-05,"['comic', 'pop punk', 'rock', 'texas pop punk']",66,[],46,2015-01-27
17,6LxaHxHXlahsSyGROh62zQ,5ND0mGcL9SKSjWIjPd0xIb,1mE248x5OCg2ffilAnFI0r,Scope,Bowling For Soup,Songs People Actually Liked - Volume 1 - The First 10 Years (1994-2003),False,1,7,spotify:track:6LxaHxHXlahsSyGROh62zQ,125.681,audio_features,4,-4.384,1,0.0391,0.27,0.717,0.605,0.916,https://api.spotify.com/v1/tracks/6LxaHxHXlahsSyGROh62zQ,https://api.spotify.com/v1/audio-analysis/6LxaHxHXlahsSyGROh62zQ,214350,4,0.0019,0.0,"['comic', 'pop punk', 'rock', 'texas pop punk']",66,[],46,2015-01-27
16,3wuAIE4zNBmJazGrZifAX5,5ND0mGcL9SKSjWIjPd0xIb,1mE248x5OCg2ffilAnFI0r,Pictures He Drew,Bowling For Soup,Songs People Actually Liked - Volume 1 - The First 10 Years (1994-2003),False,1,16,spotify:track:3wuAIE4zNBmJazGrZifAX5,133.531,audio_features,9,-4.896,1,0.0344,0.119,0.7,0.597,0.894,https://api.spotify.com/v1/tracks/3wuAIE4zNBmJazGrZifAX5,https://api.spotify.com/v1/audio-analysis/3wuAIE4zNBmJazGrZifAX5,205278,4,0.000493,0.0,"['comic', 'pop punk', 'rock', 'texas pop punk']",66,[],46,2015-01-27
16,33vr6Sl8518WtTaecvna5I,5ND0mGcL9SKSjWIjPd0xIb,1mE248x5OCg2ffilAnFI0r,Koolaid,Bowling For Soup,Songs People Actually Liked - Volume 1 - The First 10 Years (1994-2003),False,1,15,spotify:track:33vr6Sl8518WtTaecvna5I,168.015,audio_features,11,-4.839,0,0.0567,0.129,0.836,0.43,0.944,https://api.spotify.com/v1/tracks/33vr6Sl8518WtTaecvna5I,https://api.spotify.com/v1/audio-analysis/33vr6Sl8518WtTaecvna5I,222899,4,0.000301,5.95e-06,"['comic', 'pop punk', 'rock', 'texas pop punk']",66,[],46,2015-01-27
15,0xYVdBQkcp80hhFvEMJ9Xu,5ND0mGcL9SKSjWIjPd0xIb,1mE248x5OCg2ffilAnFI0r,Thirteen,Bowling For Soup,Songs People Actually Liked - Volume 1 - The First 10 Years (1994-2003),False,1,13,spotify:track:0xYVdBQkcp80hhFvEMJ9Xu,107.044,audio_features,7,-5.011,1,0.0557,0.0439,0.755,0.531,0.945,https://api.spotify.com/v1/tracks/0xYVdBQkcp80hhFvEMJ9Xu,https://api.spotify.com/v1/audio-analysis/0xYVdBQkcp80hhFvEMJ9Xu,181947,4,1.24e-05,4.29e-05,"['comic', 'pop punk', 'rock', 'texas pop punk']",66,[],46,2015-01-27
15,4J6oVEkibrw2c5cGYQeoU8,5ND0mGcL9SKSjWIjPd0xIb,1mE248x5OCg2ffilAnFI0r,Sandwich,Bowling For Soup,Songs People Actually Liked - Volume 1 - The First 10 Years (1994-2003),False,1,17,spotify:track:4J6oVEkibrw2c5cGYQeoU8,102.051,audio_features,7,-4.925,1,0.0444,0.318,0.84,0.549,0.954,https://api.spotify.com/v1/tracks/4J6oVEkibrw2c5cGYQeoU8,https://api.spotify.com/v1/audio-analysis/4J6oVEkibrw2c5cGYQeoU8,228171,4,0.000138,0.0,"['comic', 'pop punk', 'rock', 'texas pop punk']",66,[],46,2015-01-27
